resource.id,resource.name,resource.isActive,remoteNetwork.id,remoteNetwork.name,connectorCount,liveConnectorCount,isReachable
UmVzb3VyY2U6MjM0ODczNQ==,Admin Web Interface,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM0ODc3NA==,Notion Labs VPC,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM1ODg2Mg==,Snowflake Computing,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM1ODg2OA==,Snowflake App,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM1OTgxMw==,AWS Internal by Hostname,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM2MzU0Mg==,[HZ] cflt-pl-stg-kafka-1,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM2MzU0Mw==,[HZ] cflt-pl-dev-kafka1,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM2MzU0NA==,[HZ] Zone for dev-lb.notion.co,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM2MzU0NQ==,[HZ] Internal DNS,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM2MzU0Ng==,[HZ] Unmanged Elasticsearch Clusters,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjM2MzU0Nw==,[HZ] Notion Internal Engineering,False,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjQxMzYxNQ==,Confluent Private Link,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjQ0ODYwNg==,Pinecone,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjQ1ODc5MQ==,dev.notion.com,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjQ1ODc5Mg==,stg.notion.com,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjQ2NDM3OQ==,Playground VPC,False,UmVtb3RlTmV0d29yazoxMDQ3OTI=,Playground VPC,2,1,True
UmVzb3VyY2U6MjQ3MTQxOQ==,Confluent Private Link 2,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,2,2,True
UmVzb3VyY2U6MjQ4NDI2Nw==,Flowdash VPC,True,UmVtb3RlTmV0d29yazoxMTAwOTM=,Flowdash VPC,1,1,True
UmVzb3VyY2U6MjQ4NDU2OA==,Teleskope Prod VPC,True,UmVtb3RlTmV0d29yazoxMTAxNjY=,Teleskope Prod VPC,1,1,True
UmVzb3VyY2U6MjQ4NDU3NA==,Teleskope Prod App,True,UmVtb3RlTmV0d29yazoxMTAxNjY=,Teleskope Prod VPC,1,1,True
UmVzb3VyY2U6MjQ5MTI5OQ==,dev-flowdash,True,UmVtb3RlTmV0d29yazoxMTAwOTM=,Flowdash VPC,1,1,True
UmVzb3VyY2U6MjUxNjA5OQ==,[HZ] dom2xp8nopd.eu-central-1.aws.confluent.cloud,True,UmVtb3RlTmV0d29yazoxMTg4OTI=,Dev Portal USW2 VPC,2,2,True
UmVzb3VyY2U6MjUyMTA5MQ==,Tooling Prod VPC,True,UmVtb3RlTmV0d29yazoxMjAzNjk=,Tooling Prod VPC,1,1,True
UmVzb3VyY2U6MjUyMTQ3OQ==,Artemis Prod,False,UmVtb3RlTmV0d29yazoxMjAzNjk=,Tooling Prod VPC,1,1,True
