id,name,state,hostname,version,publicIP,lastHeartbeatAt,hasStatusNotificationsEnabled,remoteNetwork.id,remoteNetwork.name
Q29ubmVjdG9yOjE3MTcxMg==,gateway-vpc-01,ALIVE,ip-172-16-8-123.us-west-2.compute.internal,1.76.0,35.155.38.249,2026-07-31T23:45:04.488332+00:00,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC
Q29ubmVjdG9yOjE3NTEzNA==,gateway-vpc-02,ALIVE,ip-172-16-9-135.us-west-2.compute.internal,1.76.0,44.245.144.3,2026-07-31T23:44:52.126472+00:00,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC
Q29ubmVjdG9yOjI2NDQzMg==,playground-default-1,ALIVE,ip-172-26-171-74.us-west-2.compute.internal,1.76.0,44.227.7.118,2026-07-31T23:44:44.895329+00:00,True,UmVtb3RlTmV0d29yazoxMDQ3OTI=,Playground VPC
Q29ubmVjdG9yOjI3ODc0OQ==,flowdash-default-1,ALIVE,ip-172-18-1-4.us-west-2.compute.internal,1.76.0,52.38.128.177,2026-07-31T23:45:21.130993+00:00,True,UmVtb3RlTmV0d29yazoxMTAwOTM=,Flowdash VPC
Q29ubmVjdG9yOjI3ODkzOQ==,teleskope-prod-default-1,ALIVE,ip-172-18-5-241.us-west-2.compute.internal,1.76.0,54.71.77.31,2026-07-31T23:45:16.123107+00:00,True,UmVtb3RlTmV0d29yazoxMTAxNjY=,Teleskope Prod VPC
Q29ubmVjdG9yOjMwMTczMQ==,dev-portal-1,ALIVE,ip-10-253-192-226.us-west-2.compute.internal,1.76.0,35.164.239.149,2026-07-31T23:45:22.958286+00:00,True,UmVtb3RlTmV0d29yazoxMTg4OTI=,Dev Portal USW2 VPC
Q29ubmVjdG9yOjMwMTczMg==,dev-portal-2,ALIVE,ip-10-253-192-127.us-west-2.compute.internal,1.76.0,35.164.239.149,2026-07-31T23:45:08.313645+00:00,True,UmVtb3RlTmV0d29yazoxMTg4OTI=,Dev Portal USW2 VPC
Q29ubmVjdG9yOjMwNTcyOA==,tooling-prod-default-1,ALIVE,ip-172-28-10-255.us-west-2.compute.internal,1.76.0,54.203.100.92,2026-07-31T23:45:20.068575+00:00,True,UmVtb3RlTmV0d29yazoxMjAzNjk=,Tooling Prod VPC
Q29ubmVjdG9yOjMwODQ1Mg==,prod-portal-2,ALIVE,ip-10-97-250-217.us-west-2.compute.internal,1.76.0,35.95.251.96,2026-07-31T23:45:15.772544+00:00,True,UmVtb3RlTmV0d29yazoxMjEzODE=,Prod Portal USW2 VPC
Q29ubmVjdG9yOjMwODQ1Mw==,prod-portal-1,ALIVE,ip-10-97-253-1.us-west-2.compute.internal,1.76.0,44.233.130.242,2026-07-31T23:45:22.505804+00:00,True,UmVtb3RlTmV0d29yazoxMjEzODE=,Prod Portal USW2 VPC
Q29ubmVjdG9yOjMwOTg4Mg==,stg-portal-1,ALIVE,ip-10-252-193-249.us-west-2.compute.internal,1.76.0,44.227.89.24,2026-07-31T23:44:45.138749+00:00,True,UmVtb3RlTmV0d29yazoxMjE4NjA=,Stg Portal USW2 VPC
Q29ubmVjdG9yOjMwOTg4Mw==,stg-portal-2,ALIVE,ip-10-252-192-90.us-west-2.compute.internal,1.76.0,44.227.89.24,2026-07-31T23:44:50.760890+00:00,True,UmVtb3RlTmV0d29yazoxMjE4NjA=,Stg Portal USW2 VPC
Q29ubmVjdG9yOjMyNTg3OQ==,weightless-bison,ALIVE,ip-172-18-9-73.us-west-2.compute.internal,1.76.0,44.236.141.68,2026-07-31T23:44:50.703079+00:00,True,UmVtb3RlTmV0d29yazoxMjczNTc=,JIT Dev VPC
Q29ubmVjdG9yOjMyNzY3MA==,spiked-lynx,ALIVE,ip-172-18-11-23.us-west-2.compute.internal,1.76.0,35.82.208.205,2026-07-31T23:45:32.523491+00:00,True,UmVtb3RlTmV0d29yazoxMjc5NTk=,JIT Prod VPC
Q29ubmVjdG9yOjQyOTk1MA==,delicate-stoat,ALIVE,ip-10-250-251-39.us-west-2.compute.internal,1.76.0,184.33.35.145,2026-07-31T23:44:41.567340+00:00,True,UmVtb3RlTmV0d29yazoxNjY2ODY=,Anyscale VPC
Q29ubmVjdG9yOjQ1NjI1Ng==,classic-echidna,ALIVE,ip-10-250-242-70.eu-central-1.compute.internal,1.76.0,3.123.114.106,2026-07-31T23:45:27.996833+00:00,True,UmVtb3RlTmV0d29yazoxNzc0MTk=,Anyscale EUC1 VPC
Q29ubmVjdG9yOjQ3MjE2MQ==,bouncy-perch,ALIVE,ip-10-250-233-207.us-west-2.compute.internal,1.76.0,52.89.171.195,2026-07-31T23:45:01.966812+00:00,True,UmVtb3RlTmV0d29yazoxODM0NDA=,Turbopuffer VPC
Q29ubmVjdG9yOjUwMzA5OQ==,dev-portal-euc1-1,ALIVE,ip-10-253-203-61.eu-central-1.compute.internal,1.76.0,63.176.4.179,2026-07-31T23:45:04.246336+00:00,True,UmVtb3RlTmV0d29yazoxOTQ0OTQ=,Dev Portal EUC1 VPC
Q29ubmVjdG9yOjUwMzExMQ==,dev-portal-euc-2,ALIVE,ip-10-253-201-209.eu-central-1.compute.internal,1.76.0,3.65.67.110,2026-07-31T23:44:47.931129+00:00,True,UmVtb3RlTmV0d29yazoxOTQ0OTQ=,Dev Portal EUC1 VPC
Q29ubmVjdG9yOjUxMTk3MA==,prod-portal-euc-1,ALIVE,ip-10-105-243-58.eu-central-1.compute.internal,1.76.0,18.198.182.154,2026-07-31T23:45:15.220394+00:00,True,UmVtb3RlTmV0d29yazoxOTc3MjA=,Prod Portal EUC1 VPC
Q29ubmVjdG9yOjUxMTk3NA==,prod-portal-euc-2,ALIVE,ip-10-105-241-176.eu-central-1.compute.internal,1.76.0,63.176.24.113,2026-07-31T23:45:00.656228+00:00,True,UmVtb3RlTmV0d29yazoxOTc3MjA=,Prod Portal EUC1 VPC
Q29ubmVjdG9yOjUzNzU0NQ==,hungry-jackrabbit,ALIVE,ip-172-30-4-138.us-west-2.compute.internal,1.76.0,35.160.249.16,2026-07-31T23:44:39.857879+00:00,True,UmVtb3RlTmV0d29yazoyMDY3MTk=,Salestino VPC
Q29ubmVjdG9yOjU0OTU2Mw==,One House USW2,ALIVE,ip-10-250-170-64.us-west-2.compute.internal,1.76.0,52.25.234.187,2026-07-31T23:45:00.992647+00:00,True,UmVtb3RlTmV0d29yazoyMTEwNjE=,OneHouse VPC
Q29ubmVjdG9yOjcwOTIwOQ==,aromatic-falcon,DEAD_HEARTBEAT_TOO_OLD,ip-172-31-44-82.ap-northeast-1.compute.internal,1.76.0,13.230.163.101,2026-01-27T13:33:07.594765+00:00,True,UmVtb3RlTmV0d29yazoyNzE5NjU=,Playground (ap-northeast-1)
Q29ubmVjdG9yOjc0MzIyNg==,Onehouse EUC1 VPC,ALIVE,ip-10-250-85-75.eu-central-1.compute.internal,1.76.0,3.120.142.237,2026-07-31T23:45:12.225576+00:00,True,UmVtb3RlTmV0d29yazoyODQ4NjI=,Onehouse EUC1 VPC
Q29ubmVjdG9yOjc2MTU2Ng==,AI Enablement Prod USW2 VPC,ALIVE,ip-10-248-33-25.us-west-2.compute.internal,1.76.0,52.26.115.128,2026-07-31T23:45:18.738496+00:00,True,UmVtb3RlTmV0d29yazoyOTE5ODA=,AI Enablement Prod USW2 VPC
Q29ubmVjdG9yOjc3NjY1Mg==,CD Staging USW2 VPC,ALIVE,ip-10-99-6-163.us-west-2.compute.internal,1.76.0,52.42.141.212,2026-07-31T23:45:07.151783+00:00,True,UmVtb3RlTmV0d29yazoyOTgzNTM=,CD Staging USW2 VPC
Q29ubmVjdG9yOjc4MjgyMg==,dev-portal-apne2-1,ALIVE,ip-10-253-114-66.ap-northeast-2.compute.internal,1.76.0,43.201.164.58,2026-07-31T23:45:27.518189+00:00,True,UmVtb3RlTmV0d29yazozMDA3MDQ=,Dev Portal APNE2 VPC
Q29ubmVjdG9yOjc4MjgyNQ==,dev-portal-apne2-2,ALIVE,ip-10-253-113-213.ap-northeast-2.compute.internal,1.76.0,13.209.161.44,2026-07-31T23:45:12.721003+00:00,True,UmVtb3RlTmV0d29yazozMDA3MDQ=,Dev Portal APNE2 VPC
Q29ubmVjdG9yOjc4MzM0Ng==,BBOGAERT.WINDOWS.DEV.CONNECTOR.PRIMARY,DEAD_HEARTBEAT_TOO_OLD,fd613e7ee839,1.86.0,4.4.191.162,2026-07-23T15:47:20.356648+00:00,False,UmVtb3RlTmV0d29yazozMDA5MzI=,BBOGAERT.WINDOWS.DEV.REMOTE.NETWORK
Q29ubmVjdG9yOjc4NTEyOQ==,JSCHEIRER.WINDOWS.DEV.CONNECTOR.PRIMARY,DEAD_HEARTBEAT_TOO_OLD,2358c214609b,1.86.0,157.131.109.251,2026-07-15T07:11:56.771339+00:00,False,UmVtb3RlTmV0d29yazozMDE1ODk=,JSCHEIRER.WINDOWS.DEV.REMOTE.NETWORK
Q29ubmVjdG9yOjc4NTEzMA==,JSCHEIRER.WINDOWS.DEV.CONNECTOR.SECONDARY,DEAD_NO_HEARTBEAT,,,,,False,UmVtb3RlTmV0d29yazozMDE1ODk=,JSCHEIRER.WINDOWS.DEV.REMOTE.NETWORK
Q29ubmVjdG9yOjc4NTEzNQ==,ABHAY.WINDOWS.DEV.CONNECTOR.PRIMARY,DEAD_NO_HEARTBEAT,,,,,False,UmVtb3RlTmV0d29yazozMDE1OTE=,ABHAY.WINDOWS.DEV.REMOTE.NETWORK
Q29ubmVjdG9yOjc4NTEzNg==,ABHAY.WINDOWS.DEV.CONNECTOR.SECONDARY,DEAD_NO_HEARTBEAT,,,,,False,UmVtb3RlTmV0d29yazozMDE1OTE=,ABHAY.WINDOWS.DEV.REMOTE.NETWORK
Q29ubmVjdG9yOjc4Nzc5OQ==,JMORRIS.WINDOWS.DEV.CONNECTOR.SECONDARY,DEAD_NO_HEARTBEAT,,,,,False,UmVtb3RlTmV0d29yazozMDI1NTY=,JMORRIS.WINDOWS.DEV.REMOTE.NETWORK
Q29ubmVjdG9yOjc4NzgwMA==,JMORRIS.WINDOWS.DEV.CONNECTOR.PRIMARY,DEAD_NO_HEARTBEAT,,,,,False,UmVtb3RlTmV0d29yazozMDI1NTY=,JMORRIS.WINDOWS.DEV.REMOTE.NETWORK
Q29ubmVjdG9yOjc4NzkwNQ==,Anyscale APNE2 VPC,ALIVE,ip-10-250-200-232.ap-northeast-2.compute.internal,1.76.0,52.78.90.213,2026-07-31T23:45:30.183470+00:00,True,UmVtb3RlTmV0d29yazozMDE2MDA=,Anyscale APNE2 VPC
Q29ubmVjdG9yOjc5NDUyMw==,Anyscale APNE1 VPC,ALIVE,ip-10-250-193-128.ap-northeast-1.compute.internal,1.76.0,54.178.247.82,2026-07-31T23:45:08.121717+00:00,True,UmVtb3RlTmV0d29yazozMDQ5OTc=,Anyscale APNE1 VPC
Q29ubmVjdG9yOjc5NTI1OA==,prod-portal-apne1-1,ALIVE,ip-10-113-248-12.ap-northeast-1.compute.internal,1.76.0,52.193.25.122,2026-07-31T23:45:04.739542+00:00,True,UmVtb3RlTmV0d29yazozMDUyNzk=,Prod Portal APNE1 VPC
Q29ubmVjdG9yOjc5NTI1OQ==,prod-portal-apne1-2,ALIVE,ip-10-113-253-58.ap-northeast-1.compute.internal,1.76.0,52.193.250.189,2026-07-31T23:45:08.183223+00:00,True,UmVtb3RlTmV0d29yazozMDUyNzk=,Prod Portal APNE1 VPC
Q29ubmVjdG9yOjc5NTI3Mw==,prod-portal-apne2-1,ALIVE,ip-10-115-248-248.ap-northeast-2.compute.internal,1.76.0,3.36.230.92,2026-07-31T23:45:30.582342+00:00,True,UmVtb3RlTmV0d29yazozMDUyNTk=,Prod Portal APNE2 VPC
Q29ubmVjdG9yOjc5NTI3OA==,prod-portal-apne2-2,ALIVE,ip-10-115-251-48.ap-northeast-2.compute.internal,1.76.0,3.37.143.6,2026-07-31T23:44:58.515692+00:00,True,UmVtb3RlTmV0d29yazozMDUyNTk=,Prod Portal APNE2 VPC
Q29ubmVjdG9yOjc5NTI4Mg==,dev-portal-apne1-1,ALIVE,ip-10-253-109-86.ap-northeast-1.compute.internal,1.76.0,13.158.127.48,2026-07-31T23:45:34.911117+00:00,True,UmVtb3RlTmV0d29yazozMDUyMjE=,Dev Portal APNE1 VPC
Q29ubmVjdG9yOjc5NTI4Mw==,dev-portal-apne1-2,ALIVE,ip-10-253-110-58.ap-northeast-1.compute.internal,1.76.0,52.198.161.145,2026-07-31T23:44:56.354736+00:00,True,UmVtb3RlTmV0d29yazozMDUyMjE=,Dev Portal APNE1 VPC
Q29ubmVjdG9yOjgwMDYwMQ==,Coop Prod USW2 VPC,ALIVE,ip-10-248-42-234.us-west-2.compute.internal,1.76.0,44.228.104.139,2026-07-31T23:45:12.349149+00:00,True,UmVtb3RlTmV0d29yazozMDcxOTE=,Coop Prod USW2 VPC
